@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
6923,86,4569,2440,0.651876,0.98773,0.602419,0.98773,0.397581,0.748392,0.819803,1.204838,0
6923,86,4546,2463,0.648595,0.98773,0.603627,0.98773,0.396373,0.749324,0.818162,1.207254,0
6922,87,4531,2478,0.646455,0.987587,0.604383,0.987587,0.395617,0.749865,0.817021,1.208766,0
6921,88,4522,2487,0.64517,0.987445,0.604824,0.987445,0.395176,0.750163,0.816308,1.209648,0
6921,88,4508,2501,0.643173,0.987445,0.605565,0.987445,0.394435,0.750732,0.815309,1.21113,0
6918,91,4492,2517,0.64089,0.987017,0.60631,0.987017,0.39369,0.751181,0.813953,1.212621,0
6918,91,4488,2521,0.64032,0.987017,0.606523,0.987017,0.393477,0.751344,0.813668,1.213046,0
6917,92,4482,2527,0.639464,0.986874,0.606808,0.986874,0.393192,0.751521,0.813169,1.213615,0
6917,92,4472,2537,0.638037,0.986874,0.60734,0.986874,0.39266,0.75193,0.812455,1.214681,0
6917,92,4461,2548,0.636467,0.986874,0.607928,0.986874,0.392072,0.752379,0.811671,1.215855,0
6915,94,4454,2555,0.635469,0.986589,0.608233,0.986589,0.391767,0.75253,0.811029,1.216466,0
6913,96,4446,2563,0.634327,0.986303,0.608592,0.986303,0.391408,0.752722,0.810315,1.217185,0
6913,96,4441,2568,0.633614,0.986303,0.60886,0.986303,0.39114,0.752927,0.809959,1.217721,0
6913,96,4434,2575,0.632615,0.986303,0.609236,0.986303,0.390764,0.753214,0.809459,1.218472,0
6913,96,4427,2582,0.631616,0.986303,0.609612,0.986303,0.390388,0.753502,0.80896,1.219224,0
6913,96,4417,2592,0.63019,0.986303,0.61015,0.986303,0.38985,0.753912,0.808247,1.2203,0
6912,97,4397,2612,0.627336,0.986161,0.611195,0.986161,0.388805,0.754668,0.806748,1.222389,0
6911,98,4384,2625,0.625482,0.986018,0.611864,0.986018,0.388136,0.755135,0.80575,1.223727,0
6911,98,4375,2634,0.624197,0.986018,0.612352,0.986018,0.387648,0.755507,0.805108,1.224703,0
6910,99,4367,2642,0.623056,0.985875,0.612752,0.985875,0.387248,0.755769,0.804466,1.225503,0
6910,99,4362,2647,0.622343,0.985875,0.613023,0.985875,0.386977,0.755976,0.804109,1.226047,0
6910,99,4350,2659,0.620631,0.985875,0.613677,0.985875,0.386323,0.756473,0.803253,1.227353,0
6910,99,4339,2670,0.619061,0.985875,0.614277,0.985875,0.385723,0.756928,0.802468,1.228554,0
6909,100,4337,2672,0.618776,0.985733,0.614352,0.985733,0.385648,0.756943,0.802254,1.228704,0
6908,101,4329,2680,0.617634,0.98559,0.614755,0.98559,0.385245,0.757207,0.801612,1.22951,0
6908,101,4326,2683,0.617206,0.98559,0.614919,0.98559,0.385081,0.757332,0.801398,1.229838,0
6908,101,4320,2689,0.61635,0.98559,0.615248,0.98559,0.384752,0.757581,0.80097,1.230495,0
6908,101,4310,2699,0.614924,0.98559,0.615796,0.98559,0.384204,0.757996,0.800257,1.231592,0
6906,103,4303,2706,0.613925,0.985305,0.616112,0.985305,0.383888,0.758151,0.799615,1.232224,0
6905,104,4301,2708,0.61364,0.985162,0.616188,0.985162,0.383812,0.758166,0.799401,1.232376,0
6901,108,4282,2727,0.610929,0.984591,0.617097,0.984591,0.382903,0.758685,0.79776,1.234195,0
6901,108,4277,2732,0.610215,0.984591,0.617373,0.984591,0.382627,0.758894,0.797403,1.234747,0
6899,110,4275,2734,0.60993,0.984306,0.617415,0.984306,0.382585,0.758841,0.797118,1.234831,0
6899,110,4272,2737,0.609502,0.984306,0.617581,0.984306,0.382419,0.758966,0.796904,1.235162,0
6899,110,4268,2741,0.608931,0.984306,0.617802,0.984306,0.382198,0.759133,0.796619,1.235605,0
6899,110,4264,2745,0.608361,0.984306,0.618024,0.984306,0.381976,0.7593,0.796333,1.236048,0
6899,110,4260,2749,0.60779,0.984306,0.618245,0.984306,0.381755,0.759467,0.796048,1.236491,0
6899,110,4256,2753,0.607219,0.984306,0.618467,0.984306,0.381533,0.759634,0.795763,1.236934,0
6899,110,4247,2762,0.605935,0.984306,0.618966,0.984306,0.381034,0.760011,0.795121,1.237933,0
6899,110,4242,2767,0.605222,0.984306,0.619244,0.984306,0.380756,0.76022,0.794764,1.238488,0
6898,111,4235,2774,0.604223,0.984163,0.619599,0.984163,0.380401,0.760445,0.794193,1.239199,0
6898,111,4220,2789,0.602083,0.984163,0.620435,0.984163,0.379565,0.761075,0.793123,1.240871,0
6898,111,4211,2798,0.600799,0.984163,0.620938,0.984163,0.379062,0.761453,0.792481,1.241876,0
6897,112,4208,2801,0.600371,0.984021,0.621072,0.984021,0.378928,0.76151,0.792196,1.242143,0
6897,112,4196,2813,0.598659,0.984021,0.621743,0.984021,0.378257,0.762015,0.79134,1.243487,0
6896,113,4189,2820,0.59766,0.983878,0.622102,0.983878,0.377898,0.762242,0.790769,1.244204,0
6895,114,4183,2826,0.596804,0.983735,0.622405,0.983735,0.377595,0.762426,0.79027,1.24481,0
